,Communalities
view,0.9735251550683476
share,0.9952702365912546
reply,0.9586170287018622
like,0.8757496073978743
coin,0.9846395888059365
favorite,0.8994461582567459
danmaku,0.9951153332225271
videos,0.7026712900296249
duration,0.8085766839599277
