,Factor1,Factor2,Factor3,Factor4,Factor5
SS Loadings,6.457038247039855,1.2117343398865785,0.3488744947780902,0.12567116651990762,0.05029283380966754
Proportion Var,0.7174486941155395,0.1346371488762865,0.03876383275312113,0.013963462946656402,0.005588092645518616
Cumulative Var,0.7174486941155395,0.852085842991826,0.8908496757449471,0.9048131386916035,0.9104012313371221
