owner_name,view,share,reply,like,coin,favorite,danmaku,videos,duration,fan
阿絡Ringlet,96973,68,520,361,40,825,456,3,312,5408
盐之有槽,96952,45,18,185,18,216,9,30,990,26
Nineyears_,96743,91,34,414,158,941,104,1,126,202
电影巫,96734,148,456,177,948,537,740,12,6901,4226
韩国赵姐妹,96568,21,188,443,72,255,167,4,1057,4119
快叨斩乱麻,96448,207,287,47,186,484,300,6,1760,1939
非人类研究室,96370,46,505,778,449,387,344,44,8409,1107
嫣与梅,96328,6,36,18,6,180,6,4,387,38
解说阿灼,96237,317,868,1174,1389,1719,757,14,5038,3822
恰似笑谈中,96210,158,240,203,145,1238,2308,3,5738,413
菇朵掰,95901,378,575,251,560,598,767,9,2280,1992
张三疯剧场,95777,255,240,155,183,852,144,1,69,2947
井大宝的宝宝,95723,85,964,36,254,1718,3132,2,2018,14729
_长_歌_行_,95690,12,60,224,6,233,15,1,32,193
阿树Kia,95689,246,582,260,1389,1122,1059,12,6103,4917
熊猫趣评,95652,274,1057,3200,1485,721,898,3,1202,1867
唯婼婼,95171,67,165,354,40,485,501,1,329,110
知书君,95093,592,361,1213,845,1677,289,18,8667,4896
理智连萌,95043,31,152,87,22,104,211,1,232,45287
恩赐老师,95027,102,875,1573,311,378,753,1,283,17726
红豆莲子包,94802,366,175,562,617,3381,5242,1,4991,18689
另你君,94592,293,660,3920,1474,4382,2712,20,19008,3530
一只狗讲电影,94492,390,284,86,549,459,549,2,852,25846
今安在焉,94475,53,190,412,28,212,103,1,200,446
进击の郭某人,94245,99,538,1223,1499,398,601,4,2121,87741
忙里偷闲的姚生,94072,199,240,45,117,608,473,10,2075,1911
花牌说电影,93998,271,416,74,170,1003,518,5,1328,1263
丿Kai幼稚,93905,65,427,754,214,354,273,42,18525,327
掠影时光,93886,167,135,48,67,231,137,12,3320,757
满君,93818,82,90,153,79,165,198,2,921,585
彼得的世界,93775,544,129,272,396,1008,742,1,115,609
彩虹台台长,93605,110,390,276,308,1185,683,7,2663,10685
爱煲剧的饼干,93563,75,774,624,706,408,573,11,6428,18699
宗宗白,93504,54,568,504,520,758,330,8,2528,2126
保护我方小花,93461,222,472,270,415,738,396,37,9946,1357
观谈大啦,93456,112,268,283,76,718,514,1,195,194
DJ院长,93373,10,150,252,44,148,100,1,74,1555
不能只吃瓜,93344,64,201,447,87,1533,989,2,2889,92
罗丸丶,92973,73,576,193,42,376,749,42,10372,117
电影刺客官方,92948,80,453,17,161,820,1163,7,6650,797
蓝翔老丝鸡,92939,115,412,277,29,137,53,1,18,45
SunV的视记,92915,108,255,599,75,272,223,4,656,67
蛋仔时光机,92762,162,319,242,210,293,740,2,612,1081
闲鱼电影,92712,129,448,392,659,587,257,8,2409,2118
从前有一个鬼,92450,1248,85,333,119,812,157,1,62,62
我的房东是S级罪犯,92401,125,64,197,105,684,311,5,3500,767
桥上疯人,92379,35,36,181,40,114,101,4,2303,78
指尖看剧,92197,22,26,50,0,11,13,3,340,60
火眼电影,91887,81,1459,41,100,373,781,7,1112,399
纯真珠儿,91877,47,421,297,38,317,1572,2,730,227
日常不常,91733,293,498,945,629,1907,768,11,8110,1250
为所欲为的龙哥,91697,81,88,153,70,743,79,12,2596,246
不得了的小熊猫,91488,36,119,370,166,257,59,2,944,12888
电影侃解说,91441,16,53,128,12,100,45,145,23071,111
谷神说电影,91274,112,167,60,75,431,499,4,1380,1067
MovieTalk-电影七日谈,91241,637,958,4353,4212,2001,1072,17,13946,10210
风流倜傥泰某人,91168,84,337,108,89,107,549,4,1616,879
玉米汤很甜,90857,268,301,282,791,3692,7545,1,4173,1219
脉搏电影,90808,69,241,284,184,398,242,10,3712,411
解说家Li哥,90616,1146,496,2595,4806,554,1054,3,788,35952
异一尘,90564,112,256,192,140,653,670,2,1345,391
柯基电影,90541,470,673,1017,1313,1608,966,14,13446,1720
糖飒飒,90532,111,84,930,105,1240,961,1,629,222
我要向全国人民谢罪啊,90368,104,259,545,119,231,180,1,79,116
彦仔哥哥官方频道,90358,303,1573,2762,1549,1015,1799,4,1230,72352
苏易是运河,90337,20,186,609,126,243,181,5,590,8026
爱快进的小星,90328,243,341,99,279,538,297,9,2289,841
昼零,90317,142,258,70,139,903,592,17,2571,464
嘿嘿给你一颗糖,90291,170,268,12,235,1357,355,7,3694,948
被砍的猪w,90264,40,307,620,737,308,322,12,16846,1462
王得棍儿,89927,2829,375,913,645,1499,706,1,291,929
大象鼻子！,89839,375,391,164,344,626,303,7,3178,489
林虎_LinHu,89743,221,509,14880,3619,1626,1321,2,747,201109
路过的嘎次星人-妹,89687,229,451,641,452,1787,1053,2,497,1491
大象拾叁點,89566,33,123,2585,866,1523,946,5,3500,272
南木电影,89517,208,524,205,569,545,951,13,7005,2192
潘素贞,89509,577,244,565,646,3300,574,2,735,2644
七侠镇大老爷,89507,58,156,651,56,84,132,1,189,731
葫么幺,89449,134,2731,1411,916,330,1630,1,245,385
猫女妹啦啦啦,89431,37,327,175,32,331,76,53,9028,534
欧韬和阿夏,89394,37,373,726,65,783,343,11,6544,477
Dreamdento,89382,165,470,254,25,206,196,25,1642,708
苏泉SQ,89380,13,44,192,8,171,161,1,173,4587
童心说电影,89143,29,28,4,17,728,50,1,85,661
弹性十足王洋芋,89079,87,600,193,151,306,310,11,2174,979
弦哥电影,89023,58,190,770,612,371,155,3,1850,407
wylanne,88875,32,614,224,157,410,976,4,3262,1887
葬花的韦小宝,88861,133,759,37,346,1189,5265,3,2581,377
绿间控,88699,140,163,58,430,2953,491,1,474,532
有料天下汇,88672,131,52,140,33,93,60,6,1331,619
家瑞大兄弟,88664,27,178,1418,634,554,69,3,877,645
说书女孩本人,88515,106,684,913,421,391,289,77,21014,115
南方故事会,88368,104,486,374,42,334,107,43,6624,1125
凡小洒,88328,57,76,182,105,703,196,1,416,251
超级镜子SM,88301,114,318,38,594,819,436,3,1602,51166
有火氣_來福,88211,88,357,1,171,671,554,4,1015,429
做视频的阿泽,88088,132,75,160,48,1150,366,2,401,14767
龙族BLOOD,88038,93,180,140,74,387,802,2,503,235
凸途土two,87998,27,184,24,30,360,221,13,2275,204
辽东王三,87985,70,407,387,166,366,240,8,1887,20222
漩涡大风区,87937,145,506,308,124,735,2441,3,1752,4129
精神病人王贱贱,87925,153,464,96,315,1179,2353,4,6193,6864
Unique的地盘,87908,126,155,270,42,883,144,6,568,100
香港电影奇谈,87843,23,107,109,31,255,216,3,891,117
RonWu,87824,246,146,416,557,1612,353,1,173,154
妈妈我不追星,87712,337,281,214,472,4179,1025,2,811,2792
南小每,87334,53,134,782,160,985,249,11,4979,103
不要麻不要辣谢谢,87295,67,649,235,27,174,2492,2,2161,138
吃遍俄罗斯的秀子,87183,68,60,9,26,92,210,2,1087,219
视频充电宝,87175,236,74,75,89,807,672,1,620,13393
萌面大大瞎,87155,15,1413,166,82,148,198,1,119,67074
柯基趣视,87117,607,421,2684,1548,1218,387,19,12477,2783
万合天宜,86818,136,534,1014,902,294,454,2,246,718046
朝花__惜时,86812,73,163,255,90,793,543,2,505,3353
抗压吧背锅,86576,73,1868,462,152,243,207,3,301,1552
沧海昇,86526,80,677,193,617,324,503,16,9174,919
粥不如你好吃,86460,100,1235,152,21,118,2238,3,599,1436
乔乔乔阿浅,86458,456,92,426,393,3359,261,1,61,1041
二手古汉语专家,86441,230,262,487,357,783,1087,13,3702,838
电影映像,86333,339,339,1226,802,2834,3179,5,7626,1307
路人甲at要提起劲,86186,117,1095,297,10198,1945,851,1,773,160156
吐噜番,86179,75,476,116,68,303,828,2,798,38113
司空亦星,86150,199,353,911,377,663,604,11,7022,22032
惜惜音悦秀,86057,64,431,276,86,269,295,3,729,3107
小雪君ghj,86034,48,237,392,106,202,142,32,9109,661
大卫-塔伦蒂诺,86014,98,4140,894,656,367,1356,1,756,1992
苏晓韩I,85933,5,87,117,4,35,26,8,889,79
这是地狼,85909,519,88,1191,476,2344,523,3,876,58004
喷饭可乐,85821,391,84,716,205,859,230,5,1051,2388
小小熠33,85753,17,46,260,16,213,45,1,64,24
小疯子说电影,85740,53,598,828,450,327,434,15,8878,317
v宋旭v,85696,867,1512,713,264,336,1301,1,199,227
尔东eddie,85225,430,407,579,648,784,470,3,1700,3103
青翳Simon,85174,715,216,409,1201,2551,347,1,162,64
黑暗骑士布鲁斯韦恩,85062,30,1357,384,52,168,602,10,5681,591
扫街影评,84971,81,2657,68,56,273,960,18,3475,160
不造要取啥名儿,84890,151,33,62,45,396,231,1,382,41
Damian呆面,84872,392,1623,2696,2754,1718,1246,9,5810,2609
浅月笙歌,84815,333,340,185,496,2487,5089,6,19682,2209
佳旭视频,84680,7,76,219,35,103,109,13,2690,5852
清白不,84652,608,706,3348,1649,3802,3097,1,321,197659
小波说电影,84618,52,175,60,90,286,229,9,1776,837
魔法少女呆二,84514,75,359,616,167,382,161,6,1405,343
小四酱的23梦,84360,177,183,511,138,684,132,1,203,25
风中虾壳,84359,27,821,921,171,187,289,6,1481,31609
同福电影院,84349,34,350,153,35,98,117,9,2398,143
掉在星战大坑里,84292,19,44,4,89,137,42,2,102,108
微芳华C,84187,35,311,210,32,227,292,16,3902,262
小哪吒biubiubiu,84038,625,1256,934,4984,2877,2620,4,2608,3620
gie44682,83987,32,6,21,0,74,12,2,3228,14
Fujiiyugao,83960,72,172,118,75,547,797,4,1316,3286
陈某不打工,83838,84,1565,1082,251,189,306,3,219,4700
BinnOfficial,83804,343,26,55,235,2322,660,1,403,83
强贱三,83748,64,845,117,17,61,136,21,1964,3002
瓦力电影,83590,23,179,252,75,200,145,26,7817,154
Good奇趣坊,83439,86,93,6,79,164,210,18,4270,664
无心野灿,83376,164,580,5184,3386,1303,643,2,861,141818
蓝毛影视SHOW,83310,7,63,146,63,71,38,17,6606,252
米若吉姆,83261,212,276,28,602,1039,490,3,1665,1229
大条电影,83190,145,1441,9,56,255,1591,11,3989,893
屋脊溜兽,83165,747,244,1258,839,1589,1769,1,1522,292
我在花屋敷等你,83144,503,52,155,95,1147,500,1,435,344
疯玩族,83141,23,252,156,46,267,131,3,504,25148
笑唱菩萨蛮_,83077,104,209,223,175,1044,596,2,1135,2409
金射长,83011,56,192,34,103,387,267,5,1637,1073
千秋伏,83001,227,145,511,592,1976,714,2,1226,199
犹如幻翳,82940,334,594,525,863,290,427,1,308,40000
赤你大爷,82892,6063,74,881,17148,6425,9517,1,923,8972
吸血鬼の王,82890,293,140,86,162,593,438,1,104,948
cc和CC,82821,170,798,99,934,2494,5230,2,4397,392
乡间牧童,82771,1,55,71,8,26,29,7,492,436
E连指导员,82656,88,274,275,79,363,419,1,552,2991
robinisaac,82431,11,20,77,8,325,6,1,115,354
睡前撸剧,82418,45,50,365,175,159,104,40,21082,924
中国电影报道V,81967,56,29,74,11,250,125,16,4849,512
Fun后剧有味,81878,371,598,441,478,765,664,12,3337,632
世缘君,81829,226,1176,3520,4058,1403,1573,1,1079,1722
周六六ZLL,81708,209,557,251,661,938,371,6,2128,3015
芝居芝居,81655,125,472,332,86,720,5466,4,1719,5194
刘桑也要当阿婆,81579,19,363,248,96,124,185,1,47,45
蕉叔啊,81466,229,555,1043,745,722,481,35,23973,964
无证司机阿玛君,81328,312,912,4059,3185,827,1498,10,3507,50747
千叶净秋0千秋,81099,42,69,263,131,335,115,19,7799,244
鱼逗酱,81003,358,445,1720,759,1671,422,7,3835,7759
几渡_lrf,80934,198,88,24,156,785,261,2,544,412
诚梦电影,80900,7,70,186,75,63,56,26,6153,58
少女梳阿姨,80873,232,327,119,331,806,451,10,4880,2959
七影空间,80831,128,1466,2262,1199,1640,1419,6,2886,2574
懒人电影君,80598,34,153,19,32,297,333,1,208,1820
不止鱼,80566,83,261,590,283,292,107,158,47037,405
电影拆解师,80300,22,1124,122,41,139,249,8,1322,174
小姜搞野,80290,22,131,194,42,166,253,1,255,71
shan824,80277,20,59,26,6,58,8,1,179,227
Doromxxx,80223,164,441,195,231,1324,1917,1,215,5365
秋婼,80105,109,267,34,307,2570,4764,2,8824,9455
报告老伙计,80095,47,506,817,809,602,354,37,10529,457
柠栀素语,80077,87,279,507,93,414,403,1,433,67
嘉士伯Z,80048,68,183,167,92,222,217,37,5248,1365
yh小板凳电影,79970,33,488,304,34,239,294,26,5744,169
龙崎棒棒糖,79573,51,127,65,603,614,1770,2,5203,106295
duan野龙哉,79472,246,239,1161,342,1578,388,1,130,4121
路飞Diaosi,79456,27,1352,1177,240,276,395,4,1810,6618
Ms三文猫,79425,212,105,282,559,378,233,3,941,7120
Baymaximun,79404,434,911,28,575,3642,5861,2,1515,2352
守护小狸,79346,19,1089,188,36,71,254,2,876,443
斗战萝,79130,13,55,1,7,173,160,1,63,25
忘羡不忘,78991,879,274,146,260,2276,1255,1,261,22958
野有蔓草丶零露瀼瀼,78891,41,97,161,70,936,72,1,147,3319
红芭乐HOBALE,78826,122,163,38,53,243,134,6,892,1611
散装官人,78783,164,680,1360,1034,737,500,25,12442,2854
呀你的糖掉了,78781,17,54,92,24,216,3,1,8,1024
北半球骚客,78770,531,295,66,692,559,772,2,716,185654
金未来,78682,35,292,381,57,128,181,5,943,266
四十八小时,78680,656,553,2049,3370,802,733,1,326,119324
余不帅,78638,19,372,11,117,389,742,1,605,119060
闷骚的加菲猫,78595,276,537,150,454,1831,746,5,874,2486
不是本人哎,78501,29,190,163,23,351,283,1,209,164
不想做只单身狗,78477,9,249,98,10,22,79,1,156,2446
优优故事会,78453,20,232,514,81,192,117,23,4325,215
ckrb77543,78440,48,5,206,39,426,54,2,6448,60
17329259345,78416,22,120,173,45,215,32,28,6455,52
老高冷老高冷的久槑,78414,109,179,793,177,1568,249,1,250,341
丶南枫,78410,669,74,102,64,609,229,1,154,101
混世大魔王凌风,78320,50,270,211,126,300,295,7,4384,708
咆哮的君,78262,213,58,73,75,440,379,8,1573,4738
惠人绘心,78163,25,32,202,42,322,75,1,360,496
蔚然desu,78156,85,106,10,314,363,133,1,211,5010
补补23456,78149,31,142,243,30,291,27,5,385,1038
森的金白菜,78079,72,46,59,88,156,102,1,290,2419
THE_Mr_K,78076,143,686,193,83,387,403,1,325,1345
答案4nswer,77966,50,827,4061,3961,928,543,2,1248,232932
风噬,77750,329,75,183,790,1971,236,1,160,101
云华夫人,77721,33,998,303,78,118,294,2,995,2738
树桑tree,77676,79,107,37,51,338,122,8,2033,369
HarleyQuinzell,77548,428,174,260,611,3935,248,3,537,3134
你好小易说电影,77468,26,101,109,65,112,175,11,3015,138
小小面包小可爱,77390,21,256,140,17,96,95,28,2099,106
怎么有这么多B君,77303,113,916,210,196,252,708,25,9657,1591
Gamker攻壳,77275,757,640,2990,12018,2276,2092,1,1551,306524
桃几味,77147,62,148,93,41,967,1673,1,649,130
MI迷探,77039,51,525,2535,2104,708,484,14,12528,2961
友友病病,77006,17,20,107,19,291,159,2,489,287
Dumbo3N,76938,190,362,2,102,396,280,1,146,128
德拉马图说电影,76915,348,403,346,2551,2436,710,13,9205,8313
handsome_陌尘,76848,16,411,157,45,141,73,1,13,88
skywp,76848,7,9,12,0,29,2,1,182,654
我家狍狍,76836,98,117,284,131,1900,1517,18,79028,255
比尔电影,76827,82,998,315,115,357,156,59,11079,210
姬贪欢,76686,346,394,188,1431,1506,984,8,4399,2826
小邓谈生活,76655,43,136,190,34,149,97,50,9792,85
不食人间烟火的小神仙,76650,69,75,169,63,495,210,1,120,37
一只菜鸡_R,76576,143,581,620,967,1183,800,8,3210,5364
吖肉说电影,76554,22,143,217,28,660,123,13,2650,212
两情悦花待开,76541,181,381,203,93,237,178,12,877,93
白玉山头路小狗,76484,135,567,446,516,365,425,4,1361,4001
多情咲Q,76430,78,562,194,156,641,687,18,5921,623
黑子影谈,76348,146,247,92,181,830,205,27,7361,530
是女侠啊,76165,68,202,54,110,1703,4393,2,6598,1124
变瘦的胖大星,76156,57,55,119,198,421,198,3,927,842
你让我为你着迷,76114,17,376,106,42,31,70,7,416,922
橘叔棒棒,76080,10,8,31,5,194,8,4,355,57
乔伊司,76064,1055,192,291,3447,5223,3282,1,534,1705
兴迹的那一珂,76004,53,476,705,136,1332,2178,4,1992,4758
Sssuiyue,75929,119,228,497,346,355,163,9,3759,440
海绵菠萝,75832,206,648,270,404,1969,3552,3,2871,8053
卖火柴的小阿九,75712,203,176,12,209,412,228,3,914,659
折木-南,75666,464,1414,6322,7119,2622,716,2,1750,17788
扁舟说电影,75533,15,156,287,53,275,86,10,2644,323
神经兄弟,75382,891,106,199,401,916,520,3,556,53556
dmegg,75345,117,402,583,192,289,151,7,1104,216
小星剧乐部,75337,35,77,345,34,342,131,5,876,55
乾视频,75172,113,75,383,324,497,326,1,382,9106
pxp51151,75147,15,111,29,8,115,22,2,3232,18
狸子果酱,75143,320,413,2909,1870,1612,85,1,491,3523
Guomua,75102,147,423,801,580,330,319,2,1295,128
蛋哥说电影,75028,297,427,888,597,835,238,12,8527,800
不喝汤的胖胖,74988,40,683,1334,2591,236,443,30,11314,2248
呼呼约个片,74709,414,644,2628,1858,819,480,7,2542,2941
樱花糖Sakura1,74668,85,774,320,56,402,268,2,404,1305
环球时报-Get中国,74506,261,1668,1613,658,518,341,3,384,14924
考古西马西塔,74488,66,438,596,1205,488,707,6,2844,8096
Director鹤唳云端,74440,673,303,132,5545,3555,451,1,283,7012
花本无心水自闲,74319,84,240,319,444,880,963,6,10330,592
兰亭pepper,74293,103,120,108,61,350,289,3,409,228
小水说电影,74249,44,363,258,101,394,77,66,12329,505
情书电影,74242,104,81,111,55,936,171,1,101,5181
张喵喵fabulous123,74160,61,588,738,586,286,342,3,574,162
凉薄竹影,74153,55,1563,921,518,200,332,2,423,3986
小莫莫说影视,74115,28,141,149,36,104,115,70,13800,48
饼叨叨B,73998,46,155,39,37,159,179,11,3054,1676
小朋鸟,73973,330,158,586,1392,7187,523,111,30306,2141
不削为伍的陌生客,73760,29,333,215,276,338,156,14,4823,177
神名自得,73637,523,327,69,99,984,809,7,564,1034
依然遗忘悲伤的快乐,73602,19,103,185,19,286,33,3,938,244
李小军的电影日常,73598,117,149,99,185,780,370,11,5878,1152
娱乐大up主,73547,31,116,3,35,516,162,2,212,1237
麥片殺手Leo,73512,85,163,498,179,941,1021,2,835,775
十四辰,73469,52,18,9,144,350,160,1,313,117
影天机,73347,41,9,24,5,58,97,1,196,11
suhu004,73341,34,429,259,58,854,222,1,158,57
宋增建,73266,15,325,454,53,201,167,1,165,290
一木疯子,73233,1000,628,280,1213,4658,4723,2,1508,1238
盛开清风来,73123,143,141,235,280,1870,791,8,1696,4266
SamAboard,73095,125,57,13,101,1493,29,3,790,156
甲午Herodotus,72941,81,2018,312,241,498,437,2,1038,14651
翼下之风动漫,72897,38,454,31,430,284,1024,1,1483,385902
菇凉你好汹,72828,39,92,26,24,137,163,3,579,322
巅峰拉图瓦,72825,1580,183,201,69,417,251,1,116,6
篮子酱挺咸,72802,118,275,167,112,513,205,12,2873,7127
daiguashalang,72688,261,584,1779,2094,3137,2759,11,5975,1473
粉笔刺猬,72586,241,364,107,510,2131,795,1,179,138
一枝秀才君,72540,242,647,943,691,366,361,39,12321,2645
路路迷路路,72536,101,285,282,1168,172,309,1,290,356943
健龍行天下,72502,51,187,382,95,234,60,3,2958,432
简简说给你听,72412,237,401,263,599,1961,400,2,1454,395
荔枝网JSTV,72410,161,249,66,113,688,1322,5,2178,170
影道君,72348,23,97,340,84,234,81,11,4584,787
一只冰冰Yibing,72266,305,1788,230,186,95,3270,14,12552,182
全宇宙查无此人,72239,18,364,162,37,79,58,1,66,2649
八眉大魔王,72224,179,172,160,123,841,477,1,421,804
煦阳不是羊,72215,22,147,410,151,528,145,3,876,143
煤球菌儿,72199,150,241,1073,966,1419,801,1,658,23015
幻影逗逼,72010,27,395,871,537,211,291,1,219,131
绰隐,71904,208,126,44,218,463,334,9,3953,432
昱涵说电影,71834,51,146,61,101,281,185,17,4504,1226
蓝鹰说电影,71736,103,175,125,135,306,172,7,1790,879
灰心C,71717,93,1285,1516,915,274,713,3,1293,581
一喵说电影,71654,25,287,621,187,299,171,23,6800,2322
饭团社Game,71611,155,565,7,43,254,311,6,1026,4573
毛茸茸的森兔子,71522,0,48,163,16,86,33,1,476,49
你要做我的那只喵吗,71502,77,392,318,69,282,229,37,3566,106
巴特曼动手玩儿,71467,139,464,1148,1558,557,648,2,1264,130791
大剧刀叨,71454,133,307,209,154,1337,425,19,6151,1422
chf99625,71450,4,7,15,0,44,22,1,77,7
张左泽,71385,1218,17,179,57,398,140,1,194,258
麋桑Mstudio,71264,94,315,545,457,209,648,33,8768,1464
剧八卦,71197,35,190,32,20,168,441,2,543,198
AbramsWayne,71129,522,203,113,387,1770,746,3,1417,1526
疯猫MadcatClan,71070,2228,631,774,1559,1365,614,2,605,78246
RandomRyan,71044,291,329,26,463,6437,3147,2,2289,1507
三猫绕树,70993,71,215,381,113,277,402,2,897,4265
八爪CT烽火科赫,70981,82,184,269,103,326,100,1,162,410
希希说电影,70977,61,191,233,59,227,247,34,6843,265
哔哔苾bi,70951,117,196,53,145,1083,986,3,1528,3755
可乐三太,70671,217,379,190,451,614,606,15,6320,3586
geshu28595,70620,11,60,36,9,70,23,8,2107,35
泽天炎,70600,209,159,151,83,597,762,1,277,4201
野莓不看,70513,114,191,802,481,174,238,33,12006,665
果子鼬_,70452,44,38,86,29,230,144,1,362,39
濛濛云树,70359,1131,268,198,750,3907,856,1,270,5169
干勾于说故事,70331,6,54,78,15,49,48,2,369,32
八玖哥,70290,17,11,49,7,68,21,8,1807,23
看片学英语,70210,79,157,99,435,793,175,3,921,16788
Demon大王,70186,19,98,8,42,768,22414,1,208,106
侬莫挨劳资,70055,49,624,22,24,100,172,2,101,36
大梦无声,70045,67,208,873,58,1957,309,2,363,141
不務正業菌,70038,323,205,702,301,4444,403,3,477,813
娱乐大趴怼,70035,25,50,103,7,75,63,96,9652,193
A_黑心大萝卜,70003,51,148,38,23,213,255,1,147,1179
一歌一电影,69983,78,73,367,238,1042,139,17,4654,282
活宝说电影,69953,13,207,232,91,178,199,3,559,120
大柠d小檬,69952,57,90,34,30,245,200,3,402,354
知否-绿肥红瘦,69934,118,209,226,106,229,147,4,1762,683
楚狐蓬,69933,129,151,8,32,261,95,3,242,274
bling七七,69867,521,536,2293,683,3055,3596,1,296,7085
lanvinnn,69840,278,37,53,255,3482,645,1,273,42490
胖熙熙o,69794,151,161,1366,269,1868,293,2,523,12778
mrkx588659,69698,30,7,47,4,101,10,1,4557,66
忍者神jing,69682,221,17,71,100,1125,808,1,280,184
CJ草绝,69638,38,378,578,129,569,366,6,1396,12790
暗黑精灵,69612,37,65,0,54,1030,987,1,814,423
奥德蔓,69578,192,348,259,655,1843,4809,6,12707,5760
无心婉清,69545,4,109,183,71,63,201,5,1270,2608
约德尔人喂儿,69470,46,41,80,23,274,102,6,2668,481
好玩安徽,69450,81,917,131,69,107,374,8,2824,1537
leana_L,69391,243,293,392,524,951,426,2,1613,519
水间视频,69385,21,417,55,31,83,158,1,181,21425
红线本公子,69363,397,109,414,951,3507,893,2,2843,5233
ShirleyCheung233,69350,99,805,1445,729,383,757,6,1302,372
中国功夫史桑,69329,275,578,223,302,1542,1138,3,2570,5937
专业喵仁疯,69287,18,161,199,42,137,133,52,8436,37
十元包办任何事,69175,4,135,55,4,54,159,1,167,29
芦月Mois,69108,332,1754,676,105,274,864,1,132,238
安安老湿,69047,25,274,175,24,87,72,1,99,52
背诵全文并默写,68916,130,217,37,344,1936,3137,44,12620,330
自费水军牙医酱,68867,311,119,69,1022,1732,715,2,992,3016
c4show,68786,817,383,95,3689,3660,1290,1,453,85939
我是成汁儿呀,68633,194,300,1130,611,477,170,94,27852,1517
帧画视频,68589,95,513,1596,1429,1223,268,23,8290,675
三条金针菇,68536,373,86,6,990,1144,451,3,562,437
丹枫蝴蝶月,68509,159,313,182,291,2554,3259,73,20363,32658
狗哥吃火锅,68421,70,403,511,294,190,149,12,5390,8599
冰柠檬天然酸,68418,28,339,330,45,136,144,3,427,1419
鲸鱼大姨妈,68231,73,148,68,40,253,192,5,848,38394
life似冷非寒,68159,23,33,78,32,42,30,5,896,18
诸君我喜欢颜霸,68129,152,1058,786,101,263,208,1,74,48
长庚呀,68054,1249,346,284,2994,4060,3597,1,427,1346
每日新看点,67959,118,96,64,30,333,141,12,2262,403
知鱼yytmoon,67901,259,134,500,415,2138,1725,2,3889,236
左转不是小基友,67896,273,415,104,316,2420,4496,1,1810,1189
kililier,67879,111,804,848,281,335,258,2,503,1033
经典看电影,67797,14,28,263,30,120,21,3,430,861
青衣の寒笙,67777,402,62,174,125,958,264,2,769,101
星享视频,67622,1,19,99,13,125,42,1,329,604
贵圈心象,67553,161,1036,319,105,749,270,9,897,6954
树树看电影,67516,38,297,40,318,576,184,4,1269,429
华夏魔龙,67479,47,2701,241,34,66,366,5,654,165
小雨撩电影,67386,27,155,166,32,170,86,8,2342,136
哈秋哈秋22,67346,54,266,60,327,2164,4560,1,3558,717
看啥片儿频道,67227,418,164,5,178,1636,304,4,725,247
她她电影,67060,65,715,27,39,220,588,3,693,344
馒头呱电影,67053,17,110,280,49,259,111,17,4135,1285
战舰轰片,67023,141,226,144,61,341,78,38,8358,143
橘透不剧透,66852,13,109,329,114,129,44,7,2882,1219
网络电影吐槽工会,66832,93,64,14,24,124,157,15,4527,481
洛舟止,66796,56,546,2954,1580,682,322,1,327,203118
马赛克小姐啾,66747,60,130,567,211,512,64,7,3853,387
妙音社,66726,11,119,113,11,82,40,70,11009,25
SuperGGggggg丶,66703,20,532,78,24,121,188,1,114,4854
ioo28646,66469,12,53,115,3,102,27,2,259,139
顾昀,66454,467,72,357,122,1223,549,1,794,40
虎牙好凉,66345,1263,159,490,2943,4679,814,1,174,7527
电影秀逗场,66336,22,178,177,38,158,43,114,21331,322
bluewhite,66134,143,92,103,680,737,912,1,951,135
SSSimple字幕组,66012,61,183,20,101,537,214,5,1497,758
老司机喵酱啊啊啊,65956,18,363,101,1068,229,381,4,1690,803
钉宫萌唉,65923,472,233,518,757,2582,4800,1,4808,280
喵眼看视界,65901,42,233,667,157,386,174,1,164,744
喵妹讲电影,65843,35,199,40,56,256,225,10,1557,532
菜头和阉小二,65795,219,805,418,1605,673,1150,18,15035,1618
仙人球译制组,65749,53,398,836,590,399,791,1,794,2769
我是一个认真的Up,65685,42,985,257,53,48,263,4,718,24
晴天小猫熊,65678,139,91,39,41,330,176,2,254,1027
人人视频TV,65594,49,75,185,55,403,77,2,778,123354
ndce7219,65540,15,5,9,2,99,4,5,431,15
无月恋爱顾问,65446,35,13,7,6,47,16,3,664,2665
外行员,65412,345,218,787,1261,250,288,2,611,288881
肥衬衫,65321,207,582,774,1148,741,696,15,11390,46031
up琳琅希芷,65272,217,162,69,279,790,2947,4,2556,879
小睿说剧,65219,17,78,417,191,174,55,43,22518,822
无名的大白熊,65210,142,1101,1780,1381,477,533,1,429,4997
影视剧有趣,65188,35,262,72,19,165,197,7,907,1286
叫我黄豆豆啊,65034,16,76,121,16,763,398,1,505,426
ForZackSnyder,65007,319,687,1162,987,1441,1199,2,3436,374
柠檬小影侃电影,64977,108,227,427,294,783,288,3,846,311
一方通行kuma,64858,105,509,1524,770,536,666,2,684,278976
追剧派大星,64793,52,57,29,41,346,93,2,135,12732
药水1号厅,64766,98,1369,2108,747,1298,978,26,16465,719
高书记笔记,64697,54,840,588,375,131,317,6,2357,1556
拉娜德雷,64639,76,53,68,50,497,263,3,988,981
伯爵夫人与妖精,64629,154,212,81,190,1274,2908,4,7413,5568
whitebuster,64510,89,197,69,494,237,848,1,642,220162
电影白看了,64502,106,124,13,237,209,177,13,2786,1421
时一电影,64480,291,221,1542,610,682,257,15,4687,137
傲视在俗世上,64445,473,378,3729,4602,1945,339,1,151,76711
