,Factor1,Factor2,Factor3,Factor4,Factor5
view,0.9092067743896471,0.11894952526691441,-0.3443118040040543,0.11869299160111539,0.008975649243804824
share,0.9290383510607844,-0.2731819239131182,0.17752897635400833,-0.019911851380333526,0.16005185417840717
reply,0.9544632225480125,0.0201654844701462,-0.21668443365657836,0.004194229509114115,-0.015511395519502648
like,0.8991728184990364,-0.12957881044021485,0.14285823192797625,0.14031655690082181,-0.10173480812968157
coin,0.9184549107000531,-0.272068884948138,0.24438995577549638,0.009546902566098914,-0.08509461691208778
favorite,0.9423464466032585,-0.05061724157371334,0.06167725608243231,0.033420807011248804,0.06281873468389215
danmaku,0.9422781058528621,-0.12185624772466674,-0.17732170008147824,-0.24443870947986773,-0.03442515550241143
videos,0.41547640802981967,0.7190863660619685,0.03981172473506052,0.10176559553511157,0.03200363546630539
duration,0.5056404920138435,0.7051538425239325,0.18678390613120102,-0.1420060488885145,-0.024667583162978842
